"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
581.7797,"0:09:41",3402.33,25877.29,3373.12,3380.42,0.1,3210.7,183.43,1495.68,"16","hybracter_long","JKD6159_R10"
836.5354,"0:13:56",3233.48,26443.33,3191.21,3204.03,0.8,3538.25,162.36,2160.3,"8","hybracter_long","JKD6159_R10"
2013.7771,"0:33:33",4224.4,13034.96,4209.09,4214.08,0,31581.6,1139.72,24378.97,"16","unicycler","JKD6159_R10"
3791.9469,"1:03:11",2830.14,5975.8,2813.31,2816.63,151.25,31563.16,641.29,26277.31,"8","unicycler","JKD6159_R10"
493.2932,"0:08:13",2283.92,9021.92,2224.05,2238.9,246.29,1321.77,380.32,2369.4,"16","dragonflye_hybrid","JKD6159_R9"
653.342,"0:10:53",1933.4,8448.16,1920.58,1921.88,0,2227.84,310.5,2448.36,"8","dragonflye_hybrid","JKD6159_R9"
467.9456,"0:07:47",2321.32,9021.92,2261.74,2276.68,0,1321.75,418.5,2522.83,"16","dragonflye_long","JKD6159_R9"
604.5897,"0:10:04",2249.17,8448.25,2192.03,2204.03,0,1322,290.99,2239.69,"8","dragonflye_long","JKD6159_R9"
1012.5622,"0:16:52",6324.82,8624.08,6288.67,6295.57,0.19,13375.27,168.28,2320.09,"16","hybracter_hybrid","JKD6159_R9"
1223.0202,"0:20:23",3635.16,9325.77,3572.59,3593.02,0.1,13471.6,124.41,2425.95,"8","hybracter_hybrid","JKD6159_R9"
738.6849,"0:12:18",5988.97,7959.69,5958.13,5965.16,0.06,3547.6,227.49,2254.13,"16","hybracter_long","JKD6159_R9"
994.8432,"0:16:34",4718.02,27059.39,4655.43,4676.57,2.66,3423.8,185.99,2694.55,"8","hybracter_long","JKD6159_R9"
2524.8347,"0:42:04",4467.81,13033.96,4484.83,4484.96,0,32143.78,1223.97,32676.29,"16","unicycler","JKD6159_R9"
4118.9781,"1:08:38",4065.34,6059.44,4062.84,4062.97,123.39,32125.26,646.16,28402.74,"8","unicycler","JKD6159_R9"
511.2882,"0:08:31",3833.2,9065.62,3738.93,3756.2,0,2705.53,390.99,2826.61,"16","dragonflye_hybrid","Lerminiaux_isolateA"
813.814,"0:13:33",3939.29,8491.84,3834.59,3856.58,0.12,3014.77,355.54,3232.42,"8","dragonflye_hybrid","Lerminiaux_isolateA"
493.7189,"0:08:13",3808.75,9001.63,3713.92,3731.17,0,2519.38,404.64,2751.87,"16","dragonflye_long","Lerminiaux_isolateA"
668.7306,"0:11:08",3888.73,8491.85,3783.16,3805.41,0.01,2519.34,320.72,2679.61,"8","dragonflye_long","Lerminiaux_isolateA"
