"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample","Logic"
399.6642,"0:06:39",1781.86,8499.61,1774.28,1774.92,0,2525.84,235.84,1091.27,"8","dragonflye_hybrid","Lerminiaux_isolateA","Last"
314.1582,"0:05:14",1735.25,9009.41,1728.48,1729.15,0,2526.66,144.37,663.69,"16","dragonflye_long","Lerminiaux_isolateA","Last"
382.4713,"0:06:22",1778.58,8499.62,1770.55,1771.18,0,2525.86,245.98,1087.74,"8","dragonflye_long","Lerminiaux_isolateA","Last"
1107.3486,"0:18:27",6391.31,14042.21,6339.35,6346.86,1.07,17395.99,322.47,4240.35,"16","hybracter_hybrid","Lerminiaux_isolateA","Last"
1289.9199,"0:21:29",6685.54,13478.58,6543.28,6550.87,0.14,17399.07,246.53,3849.61,"8","hybracter_hybrid","Lerminiaux_isolateA","Last"
1200.0999,"0:20:00",6322.14,13715.52,6293.45,6301.11,0.14,8017.48,420.43,5544.73,"16","hybracter_long","Lerminiaux_isolateA","Last"
1420.492,"0:23:40",6815.86,12833.67,6691.23,6698.83,0.16,7966.43,288.09,4900.2,"8","hybracter_long","Lerminiaux_isolateA","Last"
2112.0118,"0:35:12",4848.77,13036.77,4843.96,4844.13,0,46890.39,1066.28,24408.55,"16","unicycler","Lerminiaux_isolateA","Last"
3336.6408,"0:55:36",4040.85,6573.71,4052.9,4053.07,0,46871.62,609.11,21648.44,"8","unicycler","Lerminiaux_isolateA","Last"
304.7706,"0:05:04",2092.5,9002.86,2084.93,2085.45,0,2623.79,211.36,946.66,"16","dragonflye_hybrid","Lerminiaux_isolateB","Last"
372.6114,"0:06:12",1765.65,8493.08,1757.71,1758.29,0,2529.51,217.8,953.29,"8","dragonflye_hybrid","Lerminiaux_isolateB","Last"
283.0779,"0:04:43",1859.96,9002.86,1849.7,1850.48,0,2532.1,230,846.76,"16","dragonflye_long","Lerminiaux_isolateB","Last"
349.487,"0:05:49",1770.55,8493.08,1762.77,1763.41,0,2529.5,234.49,971.49,"8","dragonflye_long","Lerminiaux_isolateB","Last"
1325.3721,"0:22:05",6417.04,13859.24,6388.65,6396.26,1.51,23167.64,493.28,7235.03,"16","hybracter_hybrid","Lerminiaux_isolateB","Last"
1635.5034,"0:27:15",6905.09,12702.46,6807.55,6815.17,0.18,22444.57,350.87,6776.1,"8","hybracter_hybrid","Lerminiaux_isolateB","Last"
1521.4263,"0:25:21",6216.17,13654.77,6187.37,6195.05,7.32,8940.24,480.96,7951.07,"16","hybracter_long","Lerminiaux_isolateB","Last"
1611.628,"0:26:51",6883.37,12903.29,6725.25,6732.84,0.15,8896.03,370,6995.54,"8","hybracter_long","Lerminiaux_isolateB","Last"
2265.0926,"0:37:45",5000.79,12014.78,4987.43,4987.6,0,52926.4,983.34,25106.64,"16","unicycler","Lerminiaux_isolateB","Last"
3478.6342,"0:57:58",4736.64,6831.7,4719.67,4724.71,0,54590.61,601.41,22763.78,"8","unicycler","Lerminiaux_isolateB","Last"
184.8368,"0:03:04",2202.29,8955.47,2194.28,2194.88,0.06,1193.35,167.63,465.94,"16","dragonflye_hybrid","Lerminiaux_isolateC","Last"
209.0388,"0:03:29",1388.66,8445.66,1380.37,1381.05,0,1785.36,80.23,318.79,"8","dragonflye_hybrid","Lerminiaux_isolateC","Last"
162.0876,"0:02:42",1050.18,8955.47,1040.11,1040.99,0,782.02,187.57,419.03,"16","dragonflye_long","Lerminiaux_isolateC","Last"
