"Sample","Run","variable","value"
"90x","Unicycler","Large InDels",1
"90x","Dragonflye (hybrid)","SNVs",0
"90x","Dragonflye (hybrid)","Small InDels",0
"90x","Dragonflye (hybrid)","Large InDels",2
"90x","Dragonflye (long)","SNVs",65
"90x","Dragonflye (long)","Small InDels",110
"90x","Dragonflye (long)","Large InDels",2
"95x","Hybracter (hybrid)","SNVs",0
"95x","Hybracter (hybrid)","Small InDels",0
"95x","Hybracter (hybrid)","Large InDels",0
"95x","Hybracter (long)","SNVs",57
"95x","Hybracter (long)","Small InDels",11
"95x","Hybracter (long)","Large InDels",0
"95x","Unicycler","SNVs",63
"95x","Unicycler","Small InDels",14
"95x","Unicycler","Large InDels",1
"95x","Dragonflye (hybrid)","SNVs",0
"95x","Dragonflye (hybrid)","Small InDels",2
"95x","Dragonflye (hybrid)","Large InDels",2
"95x","Dragonflye (long)","SNVs",64
"95x","Dragonflye (long)","Small InDels",101
"95x","Dragonflye (long)","Large InDels",2
"10x","Unicycler","SNVs",63
"10x","Unicycler","Small InDels",14
"10x","Unicycler","Large InDels",1
"15x","Unicycler","SNVs",62
"15x","Unicycler","Small InDels",14
"15x","Unicycler","Large InDels",1
